,平均房间数,房价
0,6.575,24.0
1,6.421,21.6
2,7.185,34.7
3,6.998,33.4
4,7.147,36.2
5,6.43,28.7
6,6.012,22.9
7,6.172,27.1
8,5.631,16.5
9,6.004,18.9
10,6.377,15.0
11,6.009,18.9
12,5.889,21.7
13,5.949,20.4
14,6.096,18.2
15,5.834,19.9
16,5.935,23.1
17,5.99,17.5
18,5.456,20.2
19,5.727,18.2
20,5.57,13.6
21,5.965,19.6
22,6.142,15.2
23,5.813,14.5
24,5.924,15.6
25,5.599,13.9
26,5.813,16.6
27,6.047,14.8
28,6.495,18.4
29,6.674,21.0
30,5.713,12.7
31,6.072,14.5
32,5.95,13.2
33,5.701,13.1
34,6.096,13.5
35,5.933,18.9
36,5.841,20.0
37,5.85,21.0
38,5.966,24.7
39,6.595,30.8
40,7.024,34.9
41,6.77,26.6
42,6.169,25.3
43,6.211,24.7
44,6.069,21.2
45,5.682,19.3
46,5.786,20.0
47,6.03,16.6
48,5.399,14.4
49,5.602,19.4
50,5.963,19.7
51,6.115,20.5
52,6.511,25.0
53,5.998,23.4
54,5.888,18.9
55,7.249,35.4
56,6.383,24.7
57,6.816,31.6
58,6.145,23.3
59,5.927,19.6
60,5.741,18.7
61,5.966,16.0
62,6.456,22.2
63,6.762,25.0
64,7.104,33.0
65,6.29,23.5
66,5.787,19.4
67,5.878,22.0
68,5.594,17.4
69,5.885,20.9
70,6.417,24.2
71,5.961,21.7
72,6.065,22.8
73,6.245,23.4
74,6.273,24.1
75,6.286,21.4
76,6.279,20.0
77,6.14,20.8
78,6.232,21.2
79,5.874,20.3
80,6.727,28.0
81,6.619,23.9
82,6.302,24.8
83,6.167,22.9
84,6.389,23.9
85,6.63,26.6
86,6.015,22.5
87,6.121,22.2
88,7.007,23.6
89,7.079,28.7
90,6.417,22.6
91,6.405,22.0
92,6.442,22.9
93,6.211,25.0
94,6.249,20.6
95,6.625,28.4
96,6.163,21.4
97,8.069,38.7
98,7.82,43.8
99,7.416,33.2
100,6.727,27.5
101,6.781,26.5
102,6.405,18.6
103,6.137,19.3
104,6.167,20.1
105,5.851,19.5
106,5.836,19.5
107,6.127,20.4
108,6.474,19.8
109,6.229,19.4
110,6.195,21.7
111,6.715,22.8
112,5.913,18.8
113,6.092,18.7
114,6.254,18.5
115,5.928,18.3
116,6.176,21.2
117,6.021,19.2
118,5.872,20.4
119,5.731,19.3
120,5.87,22.0
121,6.004,20.3
122,5.961,20.5
123,5.856,17.3
124,5.879,18.8
125,5.986,21.4
126,5.613,15.7
127,5.693,16.2
128,6.431,18.0
129,5.637,14.3
130,6.458,19.2
131,6.326,19.6
132,6.372,23.0
133,5.822,18.4
134,5.757,15.6
135,6.335,18.1
136,5.942,17.4
137,6.454,17.1
138,5.857,13.3
139,6.151,17.8
140,6.174,14.0
141,5.019,14.4
142,5.403,13.4
143,5.468,15.6
144,4.903,11.8
145,6.13,13.8
146,5.628,15.6
147,4.926,14.6
148,5.186,17.8
149,5.597,15.4
150,6.122,21.5
151,5.404,19.6
152,5.012,15.3
153,5.709,19.4
154,6.129,17.0
155,6.152,15.6
156,5.272,13.1
157,6.943,41.3
158,6.066,24.3
159,6.51,23.3
160,6.25,27.0
161,7.489,50.0
162,7.802,50.0
163,8.375,50.0
164,5.854,22.7
165,6.101,25.0
166,7.929,50.0
167,5.877,23.8
168,6.319,23.8
169,6.402,22.3
170,5.875,17.4
171,5.88,19.1
172,5.572,23.1
173,6.416,23.6
174,5.859,22.6
175,6.546,29.4
176,6.02,23.2
177,6.315,24.6
178,6.86,29.9
179,6.98,37.2
180,7.765,39.8
181,6.144,36.2
182,7.155,37.9
183,6.563,32.5
184,5.604,26.4
185,6.153,29.6
186,7.831,50.0
187,6.782,32.0
188,6.556,29.8
189,7.185,34.9
190,6.951,37.0
191,6.739,30.5
192,7.178,36.4
193,6.8,31.1
194,6.604,29.1
195,7.875,50.0
196,7.287,33.3
197,7.107,30.3
198,7.274,34.6
199,6.975,34.9
200,7.135,32.9
201,6.162,24.1
202,7.61,42.3
203,7.853,48.5
204,8.034,50.0
205,5.891,22.6
206,6.326,24.4
207,5.783,22.5
208,6.064,24.4
209,5.344,20.0
210,5.96,21.7
211,5.404,19.3
212,5.807,22.4
213,6.375,28.1
214,5.412,23.7
215,6.182,25.0
216,5.888,23.3
217,6.642,28.7
218,5.951,21.5
219,6.373,23.0
220,6.951,26.7
221,6.164,21.7
222,6.879,27.5
223,6.618,30.1
224,8.266,44.8
225,8.725,50.0
226,8.04,37.6
227,7.163,31.6
228,7.686,46.7
229,6.552,31.5
230,5.981,24.3
231,7.412,31.7
232,8.337,41.7
233,8.247,48.3
234,6.726,29.0
235,6.086,24.0
236,6.631,25.1
237,7.358,31.5
238,6.481,23.7
239,6.606,23.3
240,6.897,22.0
241,6.095,20.1
242,6.358,22.2
243,6.393,23.7
244,5.593,17.6
245,5.605,18.5
246,6.108,24.3
247,6.226,20.5
248,6.433,24.5
249,6.718,26.2
250,6.487,24.4
251,6.438,24.8
252,6.957,29.6
253,8.259,42.8
254,6.108,21.9
255,5.876,20.9
256,7.454,44.0
257,8.704,50.0
258,7.333,36.0
259,6.842,30.1
260,7.203,33.8
261,7.52,43.1
262,8.398,48.8
263,7.327,31.0
264,7.206,36.5
265,5.56,22.8
266,7.014,30.7
267,8.297,50.0
268,7.47,43.5
269,5.92,20.7
270,5.856,21.1
271,6.24,25.2
272,6.538,24.4
273,7.691,35.2
274,6.758,32.4
275,6.854,32.0
276,7.267,33.2
277,6.826,33.1
278,6.482,29.1
279,6.812,35.1
280,7.82,45.4
281,6.968,35.4
282,7.645,46.0
283,7.923,50.0
284,7.088,32.2
285,6.453,22.0
286,6.23,20.1
287,6.209,23.2
288,6.315,22.3
289,6.565,24.8
290,6.861,28.5
291,7.148,37.3
292,6.63,27.9
293,6.127,23.9
294,6.009,21.7
295,6.678,28.6
296,6.549,27.1
297,5.79,20.3
298,6.345,22.5
299,7.041,29.0
300,6.871,24.8
301,6.59,22.0
302,6.495,26.4
303,6.982,33.1
304,7.236,36.1
305,6.616,28.4
306,7.42,33.4
307,6.849,28.2
308,6.635,22.8
309,5.972,20.3
310,4.973,16.1
311,6.122,22.1
312,6.023,19.4
313,6.266,21.6
314,6.567,23.8
315,5.705,16.2
316,5.914,17.8
317,5.782,19.8
318,6.382,23.1
319,6.113,21.0
320,6.426,23.8
321,6.376,23.1
322,6.041,20.4
323,5.708,18.5
324,6.415,25.0
325,6.431,24.6
326,6.312,23.0
327,6.083,22.2
328,5.868,19.3
329,6.333,22.6
330,6.144,19.8
331,5.706,17.1
332,6.031,19.4
333,6.316,22.2
334,6.31,20.7
335,6.037,21.1
336,5.869,19.5
337,5.895,18.5
338,6.059,20.6
339,5.985,19.0
340,5.968,18.7
341,7.241,32.7
342,6.54,16.5
343,6.696,23.9
344,6.874,31.2
345,6.014,17.5
346,5.898,17.2
347,6.516,23.1
348,6.635,24.5
349,6.939,26.6
350,6.49,22.9
351,6.579,24.1
352,5.884,18.6
353,6.728,30.1
354,5.663,18.2
355,5.936,20.6
356,6.212,17.8
357,6.395,21.7
358,6.127,22.7
359,6.112,22.6
360,6.398,25.0
361,6.251,19.9
362,5.362,20.8
363,5.803,16.8
364,8.78,21.9
365,3.561,27.5
366,4.963,21.9
367,3.863,23.1
368,4.97,50.0
369,6.683,50.0
370,7.016,50.0
371,6.216,50.0
372,5.875,50.0
373,4.906,13.8
374,4.138,13.8
375,7.313,15.0
376,6.649,13.9
377,6.794,13.3
378,6.38,13.1
379,6.223,10.2
380,6.968,10.4
381,6.545,10.9
382,5.536,11.3
383,5.52,12.3
384,4.368,8.8
385,5.277,7.2
386,4.652,10.5
387,5.0,7.4
388,4.88,10.2
389,5.39,11.5
390,5.713,15.1
391,6.051,23.2
392,5.036,9.7
393,6.193,13.8
394,5.887,12.7
395,6.471,13.1
396,6.405,12.5
397,5.747,8.5
398,5.453,5.0
399,5.852,6.3
400,5.987,5.6
401,6.343,7.2
402,6.404,12.1
403,5.349,8.3
404,5.531,8.5
405,5.683,5.0
406,4.138,11.9
407,5.608,27.9
408,5.617,17.2
409,6.852,27.5
410,5.757,15.0
411,6.657,17.2
412,4.628,17.9
413,5.155,16.3
414,4.519,7.0
415,6.434,7.2
416,6.782,7.5
417,5.304,10.4
418,5.957,8.8
419,6.824,8.4
420,6.411,16.7
421,6.006,14.2
422,5.648,20.8
423,6.103,13.4
424,5.565,11.7
425,5.896,8.3
426,5.837,10.2
427,6.202,10.9
428,6.193,11.0
429,6.38,9.5
430,6.348,14.5
431,6.833,14.1
432,6.425,16.1
433,6.436,14.3
434,6.208,11.7
435,6.629,13.4
436,6.461,9.6
437,6.152,8.7
438,5.935,8.4
439,5.627,12.8
440,5.818,10.5
441,6.406,17.1
442,6.219,18.4
443,6.485,15.4
444,5.854,10.8
445,6.459,11.8
446,6.341,14.9
447,6.251,12.6
448,6.185,14.1
449,6.417,13.0
450,6.749,13.4
451,6.655,15.2
452,6.297,16.1
453,7.393,17.8
454,6.728,14.9
455,6.525,14.1
456,5.976,12.7
457,5.936,13.5
458,6.301,14.9
459,6.081,20.0
460,6.701,16.4
461,6.376,17.7
462,6.317,19.5
463,6.513,20.2
464,6.209,21.4
465,5.759,19.9
466,5.952,19.0
